Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
EVRG,56.28,-0.51%,-0.29,56.57,56.77,0.00 x 800,0.00 x 1000,55.85 - 56.94,50.89 - 59.28,1448687,1686956
ES,64.03,+0.16%,0.1,63.93,64.28,0.00 x 1100,0.00 x 1100,63.15 - 64.40,52.76 - 66.15,1459003,1333927
RE,219.49,+6.31%,13.03,206.46,218.32,185.75 x 800,0.00 x 800,210.23 - 220.35,203.90 - 264.88,516735,282080
EXC,44.38,+0.68%,0.3,44.08,44.79,0.00 x 1400,0.00 x 800,43.93 - 44.79,35.57 - 45.05,6306854,5458248
EXPE,124.49,+2.27%,2.76,121.73,121.28,124.02 x 800,125.00 x 800,120.15 - 125.03,98.52 - 150.13,2194146,1597469
EXPD,67.46,+2.68%,1.76,65.7,65.84,66.45 x 900,69.35 x 1000,65.84 - 67.72,56.45 - 78.16,955625,1133361
ESRX,95.42,+0.58%,0.55,94.87,95.4,94.41 x 1400,95.48 x 1400,94.44 - 95.84,59.17 - 97.22,1968154,4376449
EXR,90.97,+0.41%,0.37,90.6,90.5,74.94 x 900,94.95 x 800,89.83 - 91.82,77.53 - 101.96,2085502,900703
XOM,78.78,+2.25%,1.73,77.05,77.62,0.00 x 1400,78.91 x 800,77.42 - 79.03,72.16 - 89.30,17758234,11331620
FFIV,171.44,+1.69%,2.85,168.59,168.69,171.00 x 100,172.29 x 900,166.92 - 171.61,119.40 - 199.71,554072,664655
FB,146.22,+2.91%,4.13,142.09,139.93,150.80 x 1000,151.00 x 1200,139.74 - 146.57,139.03 - 218.62,39038503,25639933
FAST,51.32,+4.22%,2.08,49.24,49.6,50.03 x 1000,51.35 x 1800,49.40 - 51.40,46.40 - 61.14,2934881,2643735
